  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  4.   4.  10.  10.   0.    0.   6.   6.  17.   0.  11.   4.   4.   0.   0.   4. 
  0.   1.   0.   0.   1.    1.   0.   1.   0.   0.   0.   0.   0.   9.   2.   0. 
  2.   2.   0.   0.   3.    4.   1.   1.   0.   1.   1.   0.   7.   1.  21.   0. 
  0.   0.   0.   0.   0.    0.   0.   0.  16.   0.   0.   9.   9.  18.   0.  18. 
  4.   4.   0.   0.   7.    7.   3.   3.   7.  22.   0.   7.   7.   0.   0.   8. 
  0.   0.   1.   2.   0.    0.   1.   2.   0.  13.  12.   5.  17.  12.  12.   0. 
 14.  14.   0.   0.   8.    8.   9.  10.   6.   0.   0.   0.   0.   0.   0.   2. 
  4.   5.   0.   0.   5.    5.   7.   8.   8.   3.   0.   8.   8.   0.   0.   8. 
  6.   7.   9.  10.   0.    0.   5.   5.  12.   2.   2.   6.   0.   2.   2.   0. 
 17.  17.   7.   7.   1.    1.   9.   9.   2.   7.  13.   0.   0.   7.   7.   0. 
 11.  12.   7.   8.   4.    5.  23.  24.   9.   3.   3.   0.   0.   3.   3.  17. 
  7.   7.   2.   2.   9.    9.   0.   0.  15.   0.   4.  15.  15.   2.   0.  15. 
  3.   3.   2.   2.   1.    1.   5.   6.   0.  23.   7.   0.   0.   7.   7.   9. 
  2.   3.   1.   2.   6.    6.   2.   2.   4.   0.   0.   4.   8.   0.   5.   4. 
 18.  18.   5.   5.   9.    9.   4.   4.   2.  15.   2.   2.   2.   0.   0.   2. 
 12.  12.   1.   1.   0.    0.  13.  13.   0.  14.  13.   4.   0.  13.  17.   0. 
  3.   3.  14.  15.   8.    8.   4.   4.   2.   0.   0.  11.   6.   0.   0.   2. 
 13.  13.   0.   0.   7.    8.   5.   6.  12.   0.  13.   8.   8.   0.   0.  12. 
 13.  13.   0.   0.  13.   13.   0.   0.  12.   7.  12.   0.   0.   7.   7.   6. 
  0.   0.   1.   2.   0.    0.   1.   2.   8.   0.  19.   4.   4.  14.   0.   8. 
  1.   2.   4.   5.   0.    0.   6.   6.   6.  20.  14.   6.   6.   0.   0.   6. 
  9.   9.  15.  15.   4.    4.   2.   2.   8.   0.  28.   8.   8.   5.   0.   8. 
  2.   3.   4.   4.   0.    0.   6.   7.   5.   7.   7.   1.   0.   7.  12.   0. 
  2.   3.   0.   0.   2.    3.   0.   0.  27.   0.   9.  12.  12.  26.   0.  13. 
 13.  13.   3.   3.   6.    6.   4.   4.   6.   3.   1.   6.   6.   0.   0.   6. 
  1.   1.   3.   3.   0.    0.   4.   5.   3.   2.   2.   0.   0.   2.  18.   0. 
  4.   5.   2.   3.  13.   14.   6.   7.   0.   5.   5.   0.   0.  21.   5.  12. 
  4.   4.   2.   3.   2.    2.   0.   0.   6.   0.   0.  17.   7.   0.   0.   6. 
  6.   6.   9.   9.   3.    3.  18.  19.  18.   0.   0.   2.   2.   0.   7.   2. 
  0.   0.   5.   5.   3.    3.   2.   2.   0.   2.   2.   8.  12.   2.   6.   0. 
  2.   2.   0.   0.   7.    7.   5.   5.   0.  19.   3.   0.   2.   3.  16.   0. 
  0.   0.   7.   7.   2.    2.   5.   5.   0.   2.   8.   0.   0.   6.   2.   1. 
  1.   1.   3.   3.   8.    9.   4.   4.   0.   2.   2.   0.  14.   2.   2.   7. 
  0.   0.   2.   2.   1.    1.   1.   1.   0.   8.   8.  10.   0.  20.   8.   0. 
