  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  6.   6.   0.   0.   5.    5.   9.   9.   0.   6.   4.   0.   0.   4.   4.  11. 
  0.   0.   3.   4.   9.    9.   5.   6.   0.   2.   2.   0.   0.   2.   4.   0. 
  0.   0.   3.   4.   4.    4.   3.   4.   0.   6.   6.   0.  19.   6.   6.  22. 
  0.   0.   3.   3.   7.    7.  10.  10.  16.   1.   1.   0.   0.  11.   9.   0. 
 12.  12.   0.   0.  12.   12.   0.   0.  14.   0.   4.   8.   8.   0.   0.  14. 
  1.   1.   6.   6.   7.    7.  14.  15.   6.   6.   6.   0.   0.   6.   6.  20. 
 15.  16.   4.   4.  10.   10.   2.   2.   3.   1.   1.   4.   0.   1.   1.   0. 
 12.  12.  17.  17.   9.    9.   0.   0.   0.   0.   0.  15.   7.   0.   0.   0. 
  7.   8.  10.  11.   0.    0.   7.   7.   0.   2.   2.  13.   0.   2.   2.   0. 
 11.  12.  15.  15.  13.   14.   0.   0.   0.   4.   4.   4.   0.  10.   4.   0. 
  0.   0.   1.   1.   1.    1.   0.   0.   2.   0.   0.  12.   2.   0.   6.   2. 
  0.   0.   8.   8.   7.    8.   7.   7.   0.  12.  12.   0.  13.  12.  12.  17. 
  9.   9.   9.  10.  18.   19.   0.   0.   6.   0.   0.  10.   6.   0.  27.   6. 
  7.   8.   4.   4.   0.    1.   3.   3.   0.  23.   8.   0.   0.   6.   6.   0. 
  5.   5.   8.   8.   0.    0.   5.   5.   0.  14.   7.   0.   0.   0.   0.   0. 
  6.   6.   7.   7.   0.    0.  13.  14.   0.  10.   6.   0.   0.   6.  12.   0. 
 14.  15.  19.  19.   0.    0.  10.  11.  17.   0.   2.  11.  11.   0.   0.  11. 
  0.   0.   6.   6.   1.    1.   5.   5.   0.   0.  10.   0.  12.   0.   0.   8. 
  7.   7.   2.   2.   0.    0.   9.   9.   2.   0.   4.   2.   2.   0.   0.  11. 
  6.   6.  12.  13.   5.    5.   2.   2.   0.  16.  16.   6.   9.  16.  16.   0. 
  0.   0.  10.  10.   3.    4.   9.  10.   0.   4.   4.   0.   8.   4.  10.   0. 
  9.   9.   0.   0.  10.   10.   7.   7.   0.  12.   0.   0.   0.   0.   0.  12. 
 17.  18.  12.  12.   0.    0.   5.   6.   2.  12.   0.   6.   2.   0.   0.   2. 
  7.   7.   0.   0.  12.   12.   5.   5.   2.   1.   1.   0.   0.   7.   1.   5. 
  0.   0.  13.  13.  14.   14.  21.  21.   0.   2.   2.   0.   0.  14.   8.   0. 
  6.   6.  10.  10.  16.   16.   0.   0.   2.   0.  19.   2.   4.   0.   0.   8. 
 13.  14.   0.   0.  13.   14.   0.   0.   0.   4.   8.   0.  17.   2.   2.  12. 
